user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,label,cleaned_text,sentiment,topic,misinformation_label
Larry Tysome,,,2011-02-14 12:06:40,13,156,23,False,2020-08-22,"Apparently the virus is also racist. These analyses are lazy. It attacks human physiology not someone’s religion, o… https://t.co/8GZlOrbPkd",,Twitter for iPhone,False,unverified claim,apparently virus also racist analyses lazy attacks human physiology someone religion,NEGATIVE,14,unverified claim
WTKR News 3,"Hampton Roads, Virginia","Visit us online: https://t.co/O7Be1q7QDa.
Like us on Facebook: https://t.co/eQkKUQdE0K.
Follow us on Instagram: https://t.co/uonHdcjouf.",2009-03-09 22:49:23,103676,1529,12297,True,2020-07-27,Group helps connect #COVID19 survivors with researchers so they can donate plasma https://t.co/oIlPMKBA2a https://t.co/TESBXjrlpJ,['COVID19'],Hootsuite Inc.,False,true information,group helps connect survivors researchers donate plasma,POSITIVE,2,true information
José Vicente Troya Rodríguez,Costa Rica,Representante Residente del Programa de las Naciones Unidas para el Desarrollo en Costa Rica @PNUD_CR #NextGenUNDP #Agenda2030 #DesarrolloSostenible #DDHH,2019-12-17 04:49:27,97,130,49,False,2020-08-18,Female leadership critical to address the pandemic. Evidence shows female led countries reacted more quickly and de… https://t.co/8qjhwchcRY,,Twitter Web App,False,true information,female leadership critical address pandemic evidence shows led countries reacted quickly de,NEGATIVE,1,true information
@Mexicovid,Wherever the virus is. ,Resource to present & discuss the real dimension of #Covid19 in Mexico. Una plataforma para presentar y discutir la verdadera dimensión del #Covid19 en México.,2020-08-02 14:54:49,11,312,11,False,2020-08-09,"Today’s official tally of #COVID19 in #México :  52,006 deceased, 475,902 confirmws cases and 89,025 suspect cases.… https://t.co/n6tZ2vUn3Y","['COVID19', 'México']",Twitter for iPhone,False,true information,today official tally 52 006 deceased 475 902 confirmws cases 89 025 suspect,NEGATIVE,17,true information
The Original Q,"58°16'48.4""N 12°18'17.6""E","You can't deny you're still a dangerous, savage child-race.

U Mad? Complaint Department: 706-47-TROLL",2008-08-05 05:03:06,2938,1,80,False,2020-07-28,"#5G signals can cause human cells to CREATE #COVID19?

""This article isn't so much a scientific paper as a represen… https://t.co/NY6ZoucMZg","['5G', 'COVID19']",Twitter Web App,False,true information,signals cause human cells create article much scientific paper represen,POSITIVE,16,true information
Adam Gray,"London, England",Co-Founder and social media strategy expert at Digital Leadership Associates - main account is @AGSocialMedia,2017-10-13 16:28:20,578,691,25,False,2020-08-12,Working from home...how's that working out for you and what does the future look like? https://t.co/7AKCzBIRTZ by… https://t.co/rqPCTjTw1U,,Buffer,False,true information,working home future look like,POSITIVE,26,true information
TOI Ranchi,,Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mCAsZ,2017-06-20 11:38:12,1024,22,0,True,2020-07-27,"457 new #COVID19 cases in #Jharkhand ,tally rises to 8,349, reports PTI quoting government bulletin","['COVID19', 'Jharkhand']",TweetDeck,False,true information,457 new cases tally rises 8 349 reports pti quoting government bulletin,NEGATIVE,5,true information
Marty Morua,NYC - Manhattan,"#NYC #RealEstate agent at #Weichert Properties, helping folks with #apartment & #house sales..

An insanely loyal #NewYorker, a cool hubby & dad too",2012-02-02 16:53:41,1566,204,8905,False,2020-08-09,"@InwoodKth Dear @NYGovCuomo, @NYCMayor, @ydanis, @CnDelarosa, @EspaillatNY &amp; @SenatorRJackson

Strong likelihood yo… https://t.co/Lcsh4xaqMD",,Twitter Web App,False,true information,dear amp strong likelihood yo,POSITIVE,4,true information
David Neal,"Now, here. Later, not here.",Journalist since 1986. Walking non-sequitur. I have many lanes. Retweets aren't endorsements. You read me more than you likely realize. #ReadLocal #LocalNews,2009-05-29 20:51:15,3877,1199,4732,False,2020-08-02,"More hand sanitizers recalled as possibly ‘toxic.’ The FDA’s Do-Not-Use List now over 100.
Tough day for ⁦@kroger⁩.… https://t.co/U0rf1KfmnW",,Twitter for iPhone,False,unverified claim,hand sanitizers recalled possibly toxic fda use list 100 tough day,NEGATIVE,18,unverified claim
ANA Ethics,"Silver Spring, MD","Liz Stokes, Director, ANA Center for Ethics & Human Rights, RTs ≠ endorse 📩ethics@ana.org",2016-11-21 19:40:20,1665,614,1265,False,2020-08-02,Who gets a vaccine first? US considers race in #COVID19 plans. https://t.co/xcpeiRMFu4,['COVID19'],TweetDeck,False,true information,gets vaccine first us considers race plans,NEGATIVE,3,true information
Dushyant Vachhani,,,2010-02-11 00:42:17,38,44,53,False,2020-08-29,@WajahatAli Do in person #EarlyVoting (able &amp; willing) it gets counted on Nov-3 EOD. e.g. #WashingtonDC's early vot… https://t.co/4peSiPx2Sz,"['EarlyVoting', 'WashingtonDC']",Twitter Web App,False,true information,person able amp willing gets counted nov 3 eod e g early vot,NEGATIVE,4,true information
The Bitch Has Spoken,United States,"Reg Independent, ProChoice, Animal RIghts. Happily married. I don't need your approval🤬 #VoteTrumpOut🎯 #25thAmendment🇺🇲  #StopYulin🐾 #Resist👊🏼 #Protest👊",2012-03-29 07:28:08,146,466,3292,False,2020-08-10,"@GOPChairwoman @realDonaldTrump #DictatorDonny CAUSED this economic downfall not handling #COVID19 #pandemic 
He's… https://t.co/ZuM0diwD55","['DictatorDonny', 'COVID19', 'pandemic']",Twitter for Android,False,unverified claim,caused economic downfall handling,NEGATIVE,6,unverified claim
Aditya Sharma,"Kota, India","I put myself in the way of things happening, and they happened.
.

Mahi ❤️❤️",2019-02-18 17:18:33,63,65,24583,False,2020-08-12,"Participated as an Ambassador in HAC (Hack Against Covid) conducted by @codezoned during 7-9th August, 2020.… https://t.co/CgvSIoUi2Z",,Twitter Web App,False,unverified claim,participated ambassador hac hack covid conducted 7 9th august 2020,POSITIVE,11,unverified claim
Coronavirus Updates,,"COVID-19 (Coronavirus) Latest News & Statistics.
We post updates 24/7 as they come in, all stats are from official sources.
#Coronavirus #COVID19",2020-03-07 12:52:51,510,1,0,False,2020-08-18,"40 new cases in Jordan 

[17:03 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic","['coronavirus', 'CoronaVirusUpdate', 'COVID19', 'CoronavirusPandemic']",COVID19-Updates,False,true information,40 new cases jordan 17 03 gmt,POSITIVE,5,true information
Conservative in Utah,,"Christian, husband, father, genealogist, movie fan, blogger, and author, and I still have time for a day job.  https://t.co/2qaY85tR7w",2015-05-04 01:43:50,41,54,13700,False,2020-08-12,"The number of cases in the USA reached the lowest amount since August 3, and the rate of increase reached the lowes… https://t.co/eIbgZ4ZAdP",,Twitter Web App,False,true information,number cases usa reached lowest amount since august 3 rate increase lowes,NEGATIVE,5,true information
Michelle Mercurio,"Richmond, VA",Brand Catalyst & Coach. Get paid MORE to be more YOU. Ambassador @Richmond_CM #RVA #NASA #EDM #craftbeer,2008-02-25 21:21:49,1068,1642,3238,False,2020-07-30,"Summed up in a tweet, just like the #CheetoInChief  likes it!  @realDonaldTrump @POTUS #COVID19 (didn't mean to off… https://t.co/8Us9jAan0d","['CheetoInChief', 'COVID19']",Twitter for Android,False,unverified claim,summed tweet like likes mean,NEGATIVE,19,unverified claim
arda,Fl,17,2016-01-27 13:31:02,55,108,352,False,2020-07-26,Can’t wait to see coronavirus cases rise because of schools reopening...  #COVID19 #schoolsreopening https://t.co/5rVjPxdKfB,"['COVID19', 'schoolsreopening']",Twitter for iPhone,False,unverified claim,wait see coronavirus cases rise schools reopening,NEGATIVE,0,unverified claim
Robert Sitler,"New York, USA",Yo! Whats good! I’m a future Air Force Pilot (hopefully) who doesn’t really post much! Follow if you’d like!,2018-08-22 00:55:11,13,22,54,False,2020-08-22,WE ARE LIVE!!!! Come Down and Hang Out In Chat!!! Lets Get A Dub!!! #CallofDuty #Warzone #YouTube #COVID19… https://t.co/K0aqDLsc4D,"['CallofDuty', 'Warzone', 'YouTube', 'COVID19']",Twitter for iPhone,False,unverified claim,live come hang chat lets get dub,NEGATIVE,24,unverified claim
Gren Gale/PM Results,Surrey UK,"Author/Mentor/Consultant - ""Remote Work The New Normal"" ""The Remote Project Manager"" ""Project Management for SMEs"". Let me help you to run your projects better",2014-06-04 15:09:51,2653,3813,2713,False,2020-08-13,Read the new book by Gren Gale.  For those working from home or likely to be working from home in the future this b… https://t.co/fpBva9dO5o,,Hootsuite Inc.,False,unverified claim,read new book gren gale working home likely future b,POSITIVE,26,unverified claim
Angie,USA,Mom of 4 💜 Entrepreneur💰Global businesswoman 🌎 Loyal friend 👯 Musician 🎹Tacos are life! 🌮,2009-03-22 22:15:09,1007,3887,2989,False,2020-07-31,@washk12 @GovHerbert @SWUHEALTH @pvhs1983 here are some questions for you since you shouldn’t be educating anyone.… https://t.co/yWt5rJ7O7K,,Twitter for iPhone,False,unverified claim,questions since educating anyone,NEGATIVE,0,unverified claim
Trading Range EURUSD,,ForEx Trading Range in this Context mainly is based on Price Action and developing Points of Control (POC) - occasionally looking at some more technical Tools.,2009-07-10 08:58:47,4228,7,123,False,2020-08-07,MAGA-Land Log #393 - AFBF report: farm bankruptcies rose 8% last year. Before #Covid19 global farm glut pressured p… https://t.co/awiq6R1nmH,['Covid19'],Twitter Web App,False,true information,maga land log afbf report farm bankruptcies rose 8 last year global glut pressured p,NEGATIVE,6,true information
ANI UP,,"Asian News International: Multi-media news agency, content for information platforms: TV, Internet, broadband, newspapers, mobiles.",2016-03-07 05:14:09,409678,0,0,True,2020-08-12,Gorakhpur: UP CM Yogi Adityanath visited BRD Medical College and inspected the hospital arrangements amid #COVID19… https://t.co/cAk3giiQxA,['COVID19'],Twitter Web App,False,true information,gorakhpur cm yogi adityanath visited brd medical college inspected hospital arrangements amid,NEGATIVE,2,true information
Firdaus Hashim,Singapore,"Another news and current affairs junkie from Singapore. Curious to know more about my home region, Asia, and the Middle East.",2007-09-20 20:37:11,1000,1347,3475,False,2020-08-01,#Japan Acted Like the Virus Had Gone. Now It’s Spread Everywhere.  https://t.co/YPTkdepP1I #COVID19 #coronavirus,"['Japan', 'COVID19', 'coronavirus']",Twitter for Android,False,unverified claim,acted like virus gone spread everywhere,NEGATIVE,14,unverified claim
Moe,Ur mom,"BIDEN 2020, bye don 👋, #BLM,",2020-05-20 02:40:54,137,380,284,False,2020-07-28,"Lol 145,000 dead to covid and he’s spending his time on this 😂 #COVID19 #Hydroxychloroquine #TrumpFailsAmerica… https://t.co/dBfBDdn6NO","['COVID19', 'Hydroxychloroquine', 'TrumpFailsAmerica']",Twitter for iPhone,False,unverified claim,lol 145 000 dead covid spending time,NEGATIVE,11,unverified claim
🚁#SaveTimeless 🐢🍎🎣🧸,United States,#Clockblocker #Thalassophile ❤️ #MCU #Outlander #AStartingPoint #Heartie #GrantUsAFamily #TeamPopcorn 👊🏻👊🏽👊🏿,2011-04-21 08:13:11,727,209,61920,False,2020-08-16,"@lindakleintop @dawnflite @brbird @brspndr Hahaha i love this song, especially in 2020!!! #COVID19 https://t.co/t0tK3bGdSB",['COVID19'],Twitter for iPhone,False,unverified claim,hahaha love song especially 2020,POSITIVE,20,unverified claim
CSW USA,"Casper, Wyoming","We are Christian Solidarity Worldwide-USA, a partner to the non-profit CSW organizations. We advocate for religious freedom for all peoples and faiths.",2010-09-20 20:40:31,1152,57,0,False,2020-07-30,"As the #COVID19 pandemic continues to spread, we share some of the growing concerns about the impact in prisons.  https://t.co/fG6S5zwIjP",['COVID19'],Hootsuite Inc.,False,true information,pandemic continues spread share growing concerns impact prisons,POSITIVE,1,true information
Whateverrr💋,"BayArea, CA",Chillinnnnnn,2010-06-21 06:02:21,552,226,3995,False,2020-08-16,Need this..  I’m so over it 😒 #wakemeupwhenitsover #COVID19 https://t.co/0AaHVRSvsq,"['wakemeupwhenitsover', 'COVID19']",Twitter for iPhone,False,unverified claim,need,NEGATIVE,9,unverified claim
Allan Maleche,Nairobi Kenya,ED of award winning @KELINKenya & leader of a young generation of public interest lawyers shaping Kenya's democratic destiny. Views are my own.,2012-01-26 16:28:38,3980,2812,562,False,2020-08-09,👏🏿 Amazing leadership by @jacindaardern on the fight against #COVID19  100 days with zero community transmission. T… https://t.co/T19JdyZzSc,['COVID19'],Twitter for Android,False,unverified claim,amazing leadership fight 100 days zero community transmission,POSITIVE,22,unverified claim
Rajnarayan Vishwakarma,"Mumbai, India",Freelance Web Developer/Designer & also Web #Journalist,2010-01-21 07:32:17,24,121,577,False,2020-07-28,The production of the Oxford coronavirus vaccine named Covidshield—one of the frontrunner #COVID19 vaccine candidat… https://t.co/pTEee7copv,['COVID19'],Twitter for Android,False,true information,production oxford coronavirus vaccine named covidshield one frontrunner candidat,NEGATIVE,3,true information
Suky Spook,England,"Expect the unexpected, it's a deep rabbit hole. Non reliquit lapis qui non reversatur.",2011-07-21 09:49:11,2033,2044,98886,False,2020-08-09,"@MsRightMsRight Imo on one level #COVID19 is a test for stupid. 
Sadly lots of people have passed said test. 😳🤪",['COVID19'],Twitter for iPhone,False,unverified claim,imo one level test stupid sadly lots people passed said,NEGATIVE,2,unverified claim
DoTale,Kolkata,"Online Food Mart and Delivery Service at Your Doorstep.
Your own local bazaar, at your fingertip.
Free, Fast & Fresh Deliveries.",2020-05-10 07:42:47,0,0,0,False,2020-08-30,"From now your market responsibility is ours - DoTale

#DoTale #KMDassSolutions #COVID19 #sanitize #disinfectant… https://t.co/mIIxHOv06W","['DoTale', 'KMDassSolutions', 'COVID19', 'sanitize', 'disinfectant']",Twitter Web App,False,true information,market responsibility dotale,NEGATIVE,6,true information
SpeakTrueAlways,India,Live for nothing or die for something,2019-12-29 03:15:26,6,45,1581,False,2020-08-09,"@globaltimesnews China is responsible for all kind virus  #ChineseNoodleArmy
#WuhanVirus 
#ChineseVirus
#COVID19… https://t.co/RV09CBdL7h","['ChineseNoodleArmy', 'WuhanVirus', 'ChineseVirus', 'COVID19']",Twitter for Android,False,unverified claim,china responsible kind virus,NEGATIVE,14,unverified claim
Garret Wassermann for PA-45th 🌻,PA 45th district,"Mathematician, physicist, computer scientist. 2020 @AlleghenyGreens Candidate, PA State Representative 45th District. #BanFracking, #GreenNewDeal, #SinglePayer.",2018-04-06 18:35:30,409,799,15119,False,2020-07-27,"Nope, @PADems &amp; @PAGOP thought handouts to the oil &amp; gas industry was the top priority over #COVID19. So much of a… https://t.co/UFhxgb2mRS",['COVID19'],Twitter Web App,False,unverified claim,nope amp thought handouts oil gas industry top priority much,NEGATIVE,6,unverified claim
Mrbandot,"San Francisco, CA","International Contractor Engineering, speak 7 languages the entire planet is my home. Antipathy of snollygosters and there ilk!",2019-05-26 03:24:25,149,379,8459,False,2020-07-28,"@potus bought 63 million doses of Hydroxychloroquine. So he will use the Vets as guinea pigs, to prove the drug is… https://t.co/xYtpDWqvmR",,Twitter for Android,False,true information,bought 63 million doses hydroxychloroquine use vets guinea pigs prove drug,NEGATIVE,18,true information
Kagiso Fortune,,"A Human Kong🦍🤨?

https://t.co/oasr1rIAtW",2019-03-09 08:50:16,43,258,2182,False,2020-08-12,"I am an Afrobeats Artist,Producer,Songwriter,Rapper,Singer.With All this talents,i only lack equipment..Show Love w… https://t.co/0kRMkqG4C1",,Twitter for Android,False,unverified claim,afrobeats artist producer songwriter rapper singer talents lack equipment show love w,NEGATIVE,20,unverified claim
Meloy Ivie,"Washington, DC",#Feminist. Opinions are my own.,2014-01-14 01:11:32,161,1158,9461,False,2020-08-16,"Pro tip, ladies. When you don’t want to keep taking your mask off &amp; on. Turn it into an arm band. #COVID19… https://t.co/v22MEdbLVp",['COVID19'],Twitter for iPhone,False,true information,pro tip ladies want keep taking mask amp turn arm band,NEGATIVE,4,true information
