user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,label,cleaned_text
Larry Tysome,,,2011-02-14 12:06:40,13,156,23,False,2020-08-22,"Apparently the virus is also racist. These analyses are lazy. It attacks human physiology not someone’s religion, o… https://t.co/8GZlOrbPkd",,Twitter for iPhone,False,unverified claim,apparently virus also racist analyses lazy attacks human physiology someone religion
WTKR News 3,"Hampton Roads, Virginia","Visit us online: https://t.co/O7Be1q7QDa.
Like us on Facebook: https://t.co/eQkKUQdE0K.
Follow us on Instagram: https://t.co/uonHdcjouf.",2009-03-09 22:49:23,103676,1529,12297,True,2020-07-27,Group helps connect #COVID19 survivors with researchers so they can donate plasma https://t.co/oIlPMKBA2a https://t.co/TESBXjrlpJ,['COVID19'],Hootsuite Inc.,False,true information,group helps connect survivors researchers donate plasma
José Vicente Troya Rodríguez,Costa Rica,Representante Residente del Programa de las Naciones Unidas para el Desarrollo en Costa Rica @PNUD_CR #NextGenUNDP #Agenda2030 #DesarrolloSostenible #DDHH,2019-12-17 04:49:27,97,130,49,False,2020-08-18,Female leadership critical to address the pandemic. Evidence shows female led countries reacted more quickly and de… https://t.co/8qjhwchcRY,,Twitter Web App,False,true information,female leadership critical address pandemic evidence shows led countries reacted quickly de
@Mexicovid,Wherever the virus is. ,Resource to present & discuss the real dimension of #Covid19 in Mexico. Una plataforma para presentar y discutir la verdadera dimensión del #Covid19 en México.,2020-08-02 14:54:49,11,312,11,False,2020-08-09,"Today’s official tally of #COVID19 in #México :  52,006 deceased, 475,902 confirmws cases and 89,025 suspect cases.… https://t.co/n6tZ2vUn3Y","['COVID19', 'México']",Twitter for iPhone,False,true information,today official tally 52 006 deceased 475 902 confirmws cases 89 025 suspect
The Original Q,"58°16'48.4""N 12°18'17.6""E","You can't deny you're still a dangerous, savage child-race.

U Mad? Complaint Department: 706-47-TROLL",2008-08-05 05:03:06,2938,1,80,False,2020-07-28,"#5G signals can cause human cells to CREATE #COVID19?

""This article isn't so much a scientific paper as a represen… https://t.co/NY6ZoucMZg","['5G', 'COVID19']",Twitter Web App,False,true information,signals cause human cells create article much scientific paper represen
Adam Gray,"London, England",Co-Founder and social media strategy expert at Digital Leadership Associates - main account is @AGSocialMedia,2017-10-13 16:28:20,578,691,25,False,2020-08-12,Working from home...how's that working out for you and what does the future look like? https://t.co/7AKCzBIRTZ by… https://t.co/rqPCTjTw1U,,Buffer,False,true information,working home future look like
TOI Ranchi,,Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mCAsZ,2017-06-20 11:38:12,1024,22,0,True,2020-07-27,"457 new #COVID19 cases in #Jharkhand ,tally rises to 8,349, reports PTI quoting government bulletin","['COVID19', 'Jharkhand']",TweetDeck,False,true information,457 new cases tally rises 8 349 reports pti quoting government bulletin
TFG Football,The Loudest Part of the Stands,"Breaking News. Interviews. Features. Podcasts. Everything #indianfootball, with a tinge of fan madness.",2016-01-14 07:48:38,2144,54,205,False,2020-08-11,A campaign to help #indianfootball coaches who have been affected by #COVID19 has been launched by @theaifc...… https://t.co/RinWYuSMhZ,"['indianfootball', 'COVID19']",Twitter Web App,False,true information,campaign help coaches affected launched
Marty Morua,NYC - Manhattan,"#NYC #RealEstate agent at #Weichert Properties, helping folks with #apartment & #house sales..

An insanely loyal #NewYorker, a cool hubby & dad too",2012-02-02 16:53:41,1566,204,8905,False,2020-08-09,"@InwoodKth Dear @NYGovCuomo, @NYCMayor, @ydanis, @CnDelarosa, @EspaillatNY &amp; @SenatorRJackson

Strong likelihood yo… https://t.co/Lcsh4xaqMD",,Twitter Web App,False,true information,dear amp strong likelihood yo
"Field Outreach Bureau,Anantnag(J&K)","Srinagar,J&K","Official #TwitterHandle of Field Outreach Bureau, Min.of Information & Broadcasting, Govt. of India, Anantnag(J&K)
Reaching out to masses at grassroots level",2020-04-11 17:03:28,147,186,1636,False,2020-08-04,"#CoronaVirusUpdates: 

#COVID19 India Tracker
(As on 4 August,2020,08:00AM)

▶️Confirmed cases:1,855,745
▶️Active c… https://t.co/JAvGIpyzXM","['CoronaVirusUpdates', 'COVID19']",Twitter Web App,False,true information,india tracker 4 august 2020 08 00am confirmed cases 1 855 745 active c
b,,The Truth isn't what you hope it is.,2012-03-08 18:36:13,67,552,4017,False,2020-08-04,When an idiot interviews an expert.  #COVID19 #hydroxychloriquineworks https://t.co/EAM0tkJUbr,"['COVID19', 'hydroxychloriquineworks']",Twitter for iPhone,False,misinformation,idiot interviews expert
David Neal,"Now, here. Later, not here.",Journalist since 1986. Walking non-sequitur. I have many lanes. Retweets aren't endorsements. You read me more than you likely realize. #ReadLocal #LocalNews,2009-05-29 20:51:15,3877,1199,4732,False,2020-08-02,"More hand sanitizers recalled as possibly ‘toxic.’ The FDA’s Do-Not-Use List now over 100.
Tough day for ⁦@kroger⁩.… https://t.co/U0rf1KfmnW",,Twitter for iPhone,False,unverified claim,hand sanitizers recalled possibly toxic fda use list 100 tough day
R.Doyle,LouiAllaS,Recording Artist New Music Out Now. #LeaderGang,2011-08-16 05:55:50,1318,1880,1479,False,2020-08-18,Flex'D Up by ShawnG on #SoundCloud https://t.co/EnMDuYMZbe #AHH #COVID19 #TuesdayMotivation #Goingup,"['SoundCloud', 'AHH', 'COVID19', 'TuesdayMotivation', 'Goingup']",Twitter for iPhone,False,unverified claim,flex shawng
Cameron Cloutier,"Monterey Peninsula, California","Filmmaker, writer, photographer, editor, podcaster, interviewer, journalist, husband, father, son, brother, friend and confidant. Need I say more? :)",2019-11-20 05:26:58,170,129,2932,False,2020-07-28,"#Nolan is a great filmmaker but he is not the be all to end all of directors.
#Tenet is going to spread faster than… https://t.co/UFLnPFkP3Y","['Nolan', 'Tenet']",Twitter Web App,False,true information,great filmmaker end directors going spread faster
ANA Ethics,"Silver Spring, MD","Liz Stokes, Director, ANA Center for Ethics & Human Rights, RTs ≠ endorse 📩ethics@ana.org",2016-11-21 19:40:20,1665,614,1265,False,2020-08-02,Who gets a vaccine first? US considers race in #COVID19 plans. https://t.co/xcpeiRMFu4,['COVID19'],TweetDeck,False,true information,gets vaccine first us considers race plans
Dushyant Vachhani,,,2010-02-11 00:42:17,38,44,53,False,2020-08-29,@WajahatAli Do in person #EarlyVoting (able &amp; willing) it gets counted on Nov-3 EOD. e.g. #WashingtonDC's early vot… https://t.co/4peSiPx2Sz,"['EarlyVoting', 'WashingtonDC']",Twitter Web App,False,true information,person able amp willing gets counted nov 3 eod e g early vot
The Bitch Has Spoken,United States,"Reg Independent, ProChoice, Animal RIghts. Happily married. I don't need your approval🤬 #VoteTrumpOut🎯 #25thAmendment🇺🇲  #StopYulin🐾 #Resist👊🏼 #Protest👊",2012-03-29 07:28:08,146,466,3292,False,2020-08-10,"@GOPChairwoman @realDonaldTrump #DictatorDonny CAUSED this economic downfall not handling #COVID19 #pandemic 
He's… https://t.co/ZuM0diwD55","['DictatorDonny', 'COVID19', 'pandemic']",Twitter for Android,False,unverified claim,caused economic downfall handling
Aditya Sharma,"Kota, India","I put myself in the way of things happening, and they happened.
.

Mahi ❤️❤️",2019-02-18 17:18:33,63,65,24583,False,2020-08-12,"Participated as an Ambassador in HAC (Hack Against Covid) conducted by @codezoned during 7-9th August, 2020.… https://t.co/CgvSIoUi2Z",,Twitter Web App,False,unverified claim,participated ambassador hac hack covid conducted 7 9th august 2020
Coronavirus Updates,,"COVID-19 (Coronavirus) Latest News & Statistics.
We post updates 24/7 as they come in, all stats are from official sources.
#Coronavirus #COVID19",2020-03-07 12:52:51,510,1,0,False,2020-08-18,"40 new cases in Jordan 

[17:03 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic","['coronavirus', 'CoronaVirusUpdate', 'COVID19', 'CoronavirusPandemic']",COVID19-Updates,False,true information,40 new cases jordan 17 03 gmt
Conservative in Utah,,"Christian, husband, father, genealogist, movie fan, blogger, and author, and I still have time for a day job.  https://t.co/2qaY85tR7w",2015-05-04 01:43:50,41,54,13700,False,2020-08-12,"The number of cases in the USA reached the lowest amount since August 3, and the rate of increase reached the lowes… https://t.co/eIbgZ4ZAdP",,Twitter Web App,False,true information,number cases usa reached lowest amount since august 3 rate increase lowes
Michelle Mercurio,"Richmond, VA",Brand Catalyst & Coach. Get paid MORE to be more YOU. Ambassador @Richmond_CM #RVA #NASA #EDM #craftbeer,2008-02-25 21:21:49,1068,1642,3238,False,2020-07-30,"Summed up in a tweet, just like the #CheetoInChief  likes it!  @realDonaldTrump @POTUS #COVID19 (didn't mean to off… https://t.co/8Us9jAan0d","['CheetoInChief', 'COVID19']",Twitter for Android,False,unverified claim,summed tweet like likes mean
Bangalore 247,Bengaluru,"Bangalore 247 is a online news portal based in Bengaluru, karnataka. Stay tuned to get more updates!",2020-05-19 06:46:43,196,87,1,False,2020-08-14,"#COVID19 India Tracker
(As on 14 August, 2020, 08:00 AM)

▶️ Confirmed cases: 2,461,190
▶️ Active cases: 661,595
▶️… https://t.co/ppEkEgk6ES",['COVID19'],Twitter for Android,False,true information,india tracker 14 august 2020 08 00 confirmed cases 2 461 190 active 661 595
arda,Fl,17,2016-01-27 13:31:02,55,108,352,False,2020-07-26,Can’t wait to see coronavirus cases rise because of schools reopening...  #COVID19 #schoolsreopening https://t.co/5rVjPxdKfB,"['COVID19', 'schoolsreopening']",Twitter for iPhone,False,unverified claim,wait see coronavirus cases rise schools reopening
Robert Sitler,"New York, USA",Yo! Whats good! I’m a future Air Force Pilot (hopefully) who doesn’t really post much! Follow if you’d like!,2018-08-22 00:55:11,13,22,54,False,2020-08-22,WE ARE LIVE!!!! Come Down and Hang Out In Chat!!! Lets Get A Dub!!! #CallofDuty #Warzone #YouTube #COVID19… https://t.co/K0aqDLsc4D,"['CallofDuty', 'Warzone', 'YouTube', 'COVID19']",Twitter for iPhone,False,unverified claim,live come hang chat lets get dub
Gren Gale/PM Results,Surrey UK,"Author/Mentor/Consultant - ""Remote Work The New Normal"" ""The Remote Project Manager"" ""Project Management for SMEs"". Let me help you to run your projects better",2014-06-04 15:09:51,2653,3813,2713,False,2020-08-13,Read the new book by Gren Gale.  For those working from home or likely to be working from home in the future this b… https://t.co/fpBva9dO5o,,Hootsuite Inc.,False,unverified claim,read new book gren gale working home likely future b
scarlet monahan,United Kingdom,"looking in-looking on,
making art, still trying to work out the difference between a smile & a grin
photographic artist sculpture poet controversial celebrity",2011-05-03 23:23:17,336233,23815,550049,False,2020-08-01,Boris Johnson and Dominic Cummings #CareHomeicide https://t.co/yqSEamf40w #SecondPeak #Secondwave #COVID19… https://t.co/KQZS3Ijm5N,"['CareHomeicide', 'SecondPeak', 'Secondwave', 'COVID19']",autotweet scheduler,False,true information,boris johnson dominic cummings
Angie,USA,Mom of 4 💜 Entrepreneur💰Global businesswoman 🌎 Loyal friend 👯 Musician 🎹Tacos are life! 🌮,2009-03-22 22:15:09,1007,3887,2989,False,2020-07-31,@washk12 @GovHerbert @SWUHEALTH @pvhs1983 here are some questions for you since you shouldn’t be educating anyone.… https://t.co/yWt5rJ7O7K,,Twitter for iPhone,False,unverified claim,questions since educating anyone
Trading Range EURUSD,,ForEx Trading Range in this Context mainly is based on Price Action and developing Points of Control (POC) - occasionally looking at some more technical Tools.,2009-07-10 08:58:47,4228,7,123,False,2020-08-07,MAGA-Land Log #393 - AFBF report: farm bankruptcies rose 8% last year. Before #Covid19 global farm glut pressured p… https://t.co/awiq6R1nmH,['Covid19'],Twitter Web App,False,true information,maga land log afbf report farm bankruptcies rose 8 last year global glut pressured p
ANI UP,,"Asian News International: Multi-media news agency, content for information platforms: TV, Internet, broadband, newspapers, mobiles.",2016-03-07 05:14:09,409678,0,0,True,2020-08-12,Gorakhpur: UP CM Yogi Adityanath visited BRD Medical College and inspected the hospital arrangements amid #COVID19… https://t.co/cAk3giiQxA,['COVID19'],Twitter Web App,False,true information,gorakhpur cm yogi adityanath visited brd medical college inspected hospital arrangements amid
jane bendall,,,2020-03-24 11:49:00,574,5001,35974,False,2020-08-16,"@christopherhope @Telegraph Where’s the App @MattHancock @BorisJohnson? 

Are you still leading our World Beating T… https://t.co/IZ9I2ahxv0",,Twitter for iPhone,False,true information,app still leading world beating
